profile,run,scenario,band,mode,threads,bw_gbps,ipc,l2_miss_rate,cycles,iters,cyc_per_iter,victim_rc,aggressor_rc
l2hot,4,high_wb,high,wb_load,8,24.792,0.9956,0.0,33362731253,5306788,6286.803100670311,0,0
l2hot,4,high_wc,high,wc_ntdqa,12,24.914,0.9955,0.0,33379403306,5309097,6287.20916306483,0,0
l2hot,4,low_wb,low,wb_load,1,15.831,0.9965,0.0,33421506918,5320831,6281.256991248171,0,0
l2hot,4,low_wc,low,wc_ntdqa,4,15.378,0.9955,0.0,33398373997,5312177,6287.135010185089,0,0
l2hot,4,mid_wb,mid,wb_load,2,20.886,0.9954,0.0,33385090210,5309217,6288.138196272633,0,0
l2hot,4,mid_wc,mid,wc_ntdqa,9,20.944,0.9955,0.0,33373678345,5307838,6287.6218801327395,0,0
l2hot,5,baseline,none,none,0,0.0,0.9965,0.0,33442985495,5324372,6281.113621474983,0,0
l2hot,5,high_wb,high,wb_load,8,24.894,0.9957,0.0,33377907846,5309813,6286.079725594856,0,0
l2hot,5,high_wc,high,wc_ntdqa,12,24.879,0.9935,0.0,33379230644,5298072,6300.259914172552,0,0
l2hot,5,low_wb,low,wb_load,1,15.838,0.9947,0.0,33427492728,5312450,6292.293146853147,0,0
l2hot,5,low_wc,low,wc_ntdqa,4,15.38,0.9965,0.0,33406463327,5318758,6280.876724791765,0,0
l2hot,5,mid_wb,mid,wb_load,2,20.879,0.9963,0.0,33386088761,5314100,6282.548081707157,0,0
l2hot,5,mid_wc,mid,wc_ntdqa,9,20.936,0.9958,0.0,33382825782,5311220,6285.34042686991,0,0
