placement,wb_delta_ipc_l2hot_mean_sd_pct,wb_delta_cpi_chase_mean_sd_pct,wc_delta_cpi_chase_mean_sd_pct,wb_minus_wc_delta_cpi_chase_mean_sd_pct
A_same_ccd,-0.357 +- 0.063,889.752 +- 5.628,-0.598 +- 0.682,890.350 +- 5.268
B_diff_ccd_same_socket,-0.004 +- 0.080,28.622 +- 0.871,-0.150 +- 0.876,28.772 +- 0.587
C_diff_socket,0.076 +- 0.110,1.480 +- 1.823,0.865 +- 1.408,0.615 +- 1.947
D_both_sockets,0.036 +- 0.127,-1.501 +- 2.125,-1.025 +- 1.362,-0.476 +- 1.501
