claim,metric,value,unit,context
pmu_event,wc_ntdqa,311719,count,amd_df/event=0x07,umask=0x38/
pmu_event,wc_ntdqa,1142845043,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wb_load,24.841,GB/s,chase
pmu_victim_cpi,wb_load,4663725.771996,cycles/iter,chase
pmu_event,wb_load,112990,count,amd_df/event=0x07,umask=0x38/
pmu_event,wb_load,6336693788,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wb_load,24.815,GB/s,chase
pmu_victim_cpi,wb_load,4650063.638773,cycles/iter,chase
pmu_event,wb_load,111972,count,amd_df/event=0x07,umask=0x38/
pmu_event,wb_load,6266863146,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wc_ntdqa,24.779,GB/s,chase
pmu_victim_cpi,wc_ntdqa,3596178.140084,cycles/iter,chase
pmu_event,wc_ntdqa,156449,count,amd_df/event=0x07,umask=0x38/
pmu_event,wc_ntdqa,1124771221,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wb_load,24.819,GB/s,chase
pmu_victim_cpi,wb_load,4648487.817243,cycles/iter,chase
pmu_event,wb_load,93770,count,amd_df/event=0x07,umask=0x38/
pmu_event,wb_load,6268778021,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wc_ntdqa,24.795,GB/s,chase
pmu_victim_cpi,wc_ntdqa,3691282.010073,cycles/iter,chase
pmu_event,wc_ntdqa,139405,count,amd_df/event=0x07,umask=0x38/
pmu_event,wc_ntdqa,1099079043,count,amd_l3/event=0x04,umask=0xff/
