profile,placement,run,mode,threads,bw_gbps,delta_ipc_pct,delta_cpi_pct
chase,C_diff_socket,4,wc_ntdqa,11,24.814,-1.986754966887413,1.8395786254720217
chase,C_diff_socket,4,wb_load,8,24.829,-1.5452538631346562,1.3675302575961505
chase,C_diff_socket,5,wb_load,8,24.795,0.9070294784580444,-0.7997121192406416
chase,C_diff_socket,5,wc_ntdqa,11,24.829,2.040816326530608,-2.0454631358101407
chase,D_both_sockets,1,wc_ntdqa,12,24.575,0.8791208791208891,-0.6742473977168149
chase,D_both_sockets,1,wb_load,8,25.127,-1.5384615384615368,1.6641317239199833
chase,D_both_sockets,2,wb_load,8,25.128,-1.5317286652078759,1.6542406020920455
chase,D_both_sockets,2,wc_ntdqa,12,24.616,0.43763676148797753,-0.5283538959887392
chase,D_both_sockets,3,wb_load,8,25.142,0.21929824561402614,-0.2997527803063309
chase,D_both_sockets,3,wc_ntdqa,12,24.687,0.4385964912280675,-0.5620103118256016
chase,D_both_sockets,4,wc_ntdqa,12,24.625,-3.0501089324618853,3.0639840419186792
chase,D_both_sockets,4,wb_load,8,25.137,0.0,0.06347844709846506
chase,D_both_sockets,5,wc_ntdqa,12,24.481,-2.8508771929824617,2.8482809393890927
chase,D_both_sockets,5,wb_load,8,25.15,-1.3157894736842177,1.3019758800618635
