condition,trial,aggressor_cores,cycles_per_load,latency_ns,l2_hit,l3_hit,l3_miss,l2_hit_fraction,sf_evict_total,sf_evict_per_sec,sf_victim_retry,pf_disabled_count,pf_summary
R60,7,60,18.543,9.76,1000370436,19012059,4784,0.981345,2082452,208245.2,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,8,60,18.546,9.76,1000405772,19011744,4527,0.981346,2081695,208169.5,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,9,60,18.567,9.77,998807876,19360047,4727,0.980981,2083321,208332.1,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,10,60,18.568,9.77,998613887,19411619,4427,0.980928,2088715,208871.5,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,11,60,18.557,9.77,999548476,19266496,4730,0.981085,2090260,209026.0,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,12,60,18.562,9.77,999121776,19338876,4080,0.981008,2087098,208709.8,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,13,60,18.542,9.76,1000663194,18974372,4255,0.981387,2082823,208282.3,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,14,60,18.541,9.76,1000732963,18901612,4254,0.981458,2089037,208903.7,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,15,60,18.549,9.76,1000306163,19018837,4180,0.981338,2096791,209679.1,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,16,60,18.544,9.76,1000747300,18964238,4276,0.981398,2090755,209075.5,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,17,60,18.542,9.76,1000863851,18923832,4169,0.981439,2095626,209562.6,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
R60,18,60,18.552,9.76,999880285,19186509,4336,0.981168,2085831,208583.1,0,60,forced_turnover: cpu=1 node=0 region=4096 KB n_qwords=524288 seed=1000 pf_disabled=1 batch=64 | forced_turnover: cpu=2 node=0 region=4096 KB n_qwords=524288 seed=1001 pf_disabled=1 batch=64 | forced_turnover: cpu=3 node=0 region=4096 KB n_qwords=524288 seed=1002 pf_disabled=1 batch=64
