phase,knob,knob_value,condition,n_aggr_cores,trial,cycles_per_load,quiescent_cycles,tax_pct,aggregate_bw_gbps,victim_slowdown_pct,page_kb,readonly,notes
2,cat_aggr_ways,3,A,8,23,78.124,79.508,-1.741,23.52,-1.741,,True,vic12w_agg3w
2,cat_aggr_ways,3,A,8,24,78.142,79.508,-1.718,23.52,-1.718,,True,vic12w_agg3w
2,cat_aggr_ways,3,A,8,25,78.128,79.508,-1.736,23.52,-1.736,,True,vic12w_agg3w
2,cat_aggr_ways,3,A,8,26,78.298,79.508,-1.522,23.52,-1.522,,True,vic12w_agg3w
2,cat_aggr_ways,3,A,8,27,79.065,79.508,-0.557,23.52,-0.557,,True,vic12w_agg3w
2,cat_aggr_ways,3,A,8,28,78.139,79.508,-1.722,23.52,-1.722,,True,vic12w_agg3w
2,cat_aggr_ways,3,A,8,29,78.138,79.508,-1.723,23.52,-1.723,,True,vic12w_agg3w
2,cat_aggr_ways,2,A,8,0,78.165,79.508,-1.689,23.523,-1.689,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,1,78.169,79.508,-1.684,23.523,-1.684,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,2,78.119,79.508,-1.747,23.523,-1.747,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,3,78.12,79.508,-1.746,23.523,-1.746,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,4,78.146,79.508,-1.713,23.523,-1.713,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,5,78.155,79.508,-1.702,23.523,-1.702,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,6,78.138,79.508,-1.723,23.523,-1.723,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,7,78.13,79.508,-1.733,23.523,-1.733,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,8,78.148,79.508,-1.711,23.523,-1.711,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,9,78.135,79.508,-1.727,23.523,-1.727,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,10,78.129,79.508,-1.735,23.523,-1.735,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,11,78.145,79.508,-1.715,23.523,-1.715,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,12,78.128,79.508,-1.736,23.523,-1.736,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,13,78.121,79.508,-1.745,23.523,-1.745,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,14,78.127,79.508,-1.737,23.523,-1.737,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,15,78.163,79.508,-1.692,23.523,-1.692,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,16,78.179,79.508,-1.672,23.523,-1.672,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,17,78.19,79.508,-1.658,23.523,-1.658,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,18,78.153,79.508,-1.704,23.523,-1.704,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,19,78.143,79.508,-1.717,23.523,-1.717,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,20,78.147,79.508,-1.712,23.523,-1.712,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,21,78.228,79.508,-1.61,23.523,-1.61,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,22,78.137,79.508,-1.725,23.523,-1.725,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,23,78.123,79.508,-1.742,23.523,-1.742,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,24,78.126,79.508,-1.738,23.523,-1.738,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,25,78.142,79.508,-1.718,23.523,-1.718,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,26,78.138,79.508,-1.723,23.523,-1.723,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,27,78.126,79.508,-1.738,23.523,-1.738,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,28,78.123,79.508,-1.742,23.523,-1.742,,True,vic12w_agg2w
2,cat_aggr_ways,2,A,8,29,78.133,79.508,-1.73,23.523,-1.73,,True,vic12w_agg2w
2,cat_aggr_ways,1,A,8,0,78.132,79.508,-1.731,23.504,-1.731,,True,vic12w_agg1w
