phase,knob,knob_value,condition,n_aggr_cores,trial,cycles_per_load,quiescent_cycles,tax_pct,aggregate_bw_gbps,victim_slowdown_pct,page_kb,readonly,notes
1,prefetcher,wb_pf_off,B,8,21,88.7,80.456,10.247,23.51,10.247,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,22,88.302,80.456,9.752,23.51,9.752,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,23,88.101,80.456,9.502,23.51,9.502,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,24,87.925,80.456,9.284,23.51,9.284,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,25,88.266,80.456,9.708,23.51,9.708,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,26,89.928,80.456,11.773,23.51,11.773,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,27,88.999,80.456,10.619,23.51,10.619,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,28,88.439,80.456,9.923,23.51,9.923,,False,wb_pf_off
1,prefetcher,wb_pf_off,B,8,29,88.246,80.456,9.683,23.51,9.683,,False,wb_pf_off
1,stream_mode,wc_movntdqa,C,8,0,90.46,80.456,12.435,23.521,12.435,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,1,90.039,80.456,11.911,23.521,11.911,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,2,90.151,80.456,12.05,23.521,12.05,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,3,90.494,80.456,12.477,23.521,12.477,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,4,90.121,80.456,12.013,23.521,12.013,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,5,90.074,80.456,11.955,23.521,11.955,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,6,90.737,80.456,12.779,23.521,12.779,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,7,90.446,80.456,12.417,23.521,12.417,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,8,90.561,80.456,12.56,23.521,12.56,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,9,90.251,80.456,12.175,23.521,12.175,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,10,91.013,80.456,13.122,23.521,13.122,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,11,90.374,80.456,12.328,23.521,12.328,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,12,90.348,80.456,12.295,23.521,12.295,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,13,90.136,80.456,12.032,23.521,12.032,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,14,89.881,80.456,11.715,23.521,11.715,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,15,89.984,80.456,11.843,23.521,11.843,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,16,89.701,80.456,11.491,23.521,11.491,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,17,90.11,80.456,12.0,23.521,12.0,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,18,89.948,80.456,11.798,23.521,11.798,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,19,89.732,80.456,11.53,23.521,11.53,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,20,90.034,80.456,11.905,23.521,11.905,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,21,89.822,80.456,11.642,23.521,11.642,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,22,90.281,80.456,12.212,23.521,12.212,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,23,90.231,80.456,12.15,23.521,12.15,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,24,89.989,80.456,11.849,23.521,11.849,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,25,89.828,80.456,11.649,23.521,11.649,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,26,90.786,80.456,12.84,23.521,12.84,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,27,90.683,80.456,12.712,23.521,12.712,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,28,90.152,80.456,12.052,23.521,12.052,,False,wc_movntdqa
1,stream_mode,wc_movntdqa,C,8,29,89.939,80.456,11.787,23.521,11.787,,False,wc_movntdqa
1,stream_mode,wc_nopf,E,8,0,87.794,80.456,9.121,22.195,9.121,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,1,87.379,80.456,8.605,22.195,8.605,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,2,87.367,80.456,8.59,22.195,8.59,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,3,87.497,80.456,8.752,22.195,8.752,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,4,87.856,80.456,9.198,22.195,9.198,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,5,87.756,80.456,9.074,22.195,9.074,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,6,87.347,80.456,8.565,22.195,8.565,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,7,87.454,80.456,8.698,22.195,8.698,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,8,87.18,80.456,8.358,22.195,8.358,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,9,87.994,80.456,9.37,22.195,9.37,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,10,87.599,80.456,8.879,22.195,8.879,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,11,88.251,80.456,9.689,22.195,9.689,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,12,87.931,80.456,9.291,22.195,9.291,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,13,87.575,80.456,8.849,22.195,8.849,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,14,87.813,80.456,9.145,22.195,9.145,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,15,87.552,80.456,8.82,22.195,8.82,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,16,87.366,80.456,8.589,22.195,8.589,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,17,87.326,80.456,8.539,22.195,8.539,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,18,87.495,80.456,8.749,22.195,8.749,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,19,87.606,80.456,8.887,22.195,8.887,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,20,87.489,80.456,8.742,22.195,8.742,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,21,87.68,80.456,8.979,22.195,8.979,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,22,87.223,80.456,8.411,22.195,8.411,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,23,87.412,80.456,8.646,22.195,8.646,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,24,87.473,80.456,8.722,22.195,8.722,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,25,87.575,80.456,8.849,22.195,8.849,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,26,87.692,80.456,8.994,22.195,8.994,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,27,88.198,80.456,9.623,22.195,9.623,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,28,87.906,80.456,9.26,22.195,9.26,,False,wc_nopf
1,stream_mode,wc_nopf,E,8,29,87.557,80.456,8.826,22.195,8.826,,False,wc_nopf
