condition,n_aggr_cores,trial,agg_bw_gbps,sf_evict_total,sf_evict_rate,sf_victim_retry,tor_drd_pref,pmu_raw
A,3,9,3.17,474229,94846.0,0,2462334140,"{""unc_cha_core_snp.evict_one"": 295081, ""unc_cha_core_snp.evict_gtone"": 179148, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 2462334140, ""unc_cha_tor_inserts.ia_drd"": 1325575623}"
A,5,0,5.19,520242,104048.0,0,3861048047,"{""unc_cha_core_snp.evict_one"": 321283, ""unc_cha_core_snp.evict_gtone"": 198959, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 3861048047, ""unc_cha_tor_inserts.ia_drd"": 2292187676}"
A,5,1,5.2,444211,88842.0,0,3922282376,"{""unc_cha_core_snp.evict_one"": 269144, ""unc_cha_core_snp.evict_gtone"": 175067, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 3922282376, ""unc_cha_tor_inserts.ia_drd"": 2238332326}"
A,5,2,5.21,494678,98936.0,0,3902940159,"{""unc_cha_core_snp.evict_one"": 299288, ""unc_cha_core_snp.evict_gtone"": 195390, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 3902940159, ""unc_cha_tor_inserts.ia_drd"": 2278917026}"
A,5,3,5.21,530865,106173.0,0,4040638165,"{""unc_cha_core_snp.evict_one"": 337764, ""unc_cha_core_snp.evict_gtone"": 193101, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 4040638165, ""unc_cha_tor_inserts.ia_drd"": 2144437054}"
A,5,4,5.23,536794,107359.0,0,4080983864,"{""unc_cha_core_snp.evict_one"": 355337, ""unc_cha_core_snp.evict_gtone"": 181457, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 4080983864, ""unc_cha_tor_inserts.ia_drd"": 2126711020}"
A,5,5,5.2,440018,88004.0,0,3985796360,"{""unc_cha_core_snp.evict_one"": 252780, ""unc_cha_core_snp.evict_gtone"": 187238, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 3985796360, ""unc_cha_tor_inserts.ia_drd"": 2179519989}"
A,5,6,5.22,409417,81883.0,0,3954800232,"{""unc_cha_core_snp.evict_one"": 237987, ""unc_cha_core_snp.evict_gtone"": 171430, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 3954800232, ""unc_cha_tor_inserts.ia_drd"": 2221791522}"
A,5,7,5.2,725702,145140.0,0,3961543994,"{""unc_cha_core_snp.evict_one"": 461807, ""unc_cha_core_snp.evict_gtone"": 263895, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 3961543994, ""unc_cha_tor_inserts.ia_drd"": 2211126470}"
A,5,8,5.3,455591,91118.0,0,4002634779,"{""unc_cha_core_snp.evict_one"": 268273, ""unc_cha_core_snp.evict_gtone"": 187318, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 4002634779, ""unc_cha_tor_inserts.ia_drd"": 2278297838}"
A,5,9,5.2,840110,168022.0,0,3967091260,"{""unc_cha_core_snp.evict_one"": 566431, ""unc_cha_core_snp.evict_gtone"": 273679, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 3967091260, ""unc_cha_tor_inserts.ia_drd"": 2209494162}"
A,7,0,7.09,527953,105591.0,0,5599503524,"{""unc_cha_core_snp.evict_one"": 331758, ""unc_cha_core_snp.evict_gtone"": 196195, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5599503524, ""unc_cha_tor_inserts.ia_drd"": 2793354996}"
A,7,1,7.07,535323,107065.0,0,5615874906,"{""unc_cha_core_snp.evict_one"": 323619, ""unc_cha_core_snp.evict_gtone"": 211704, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5615874906, ""unc_cha_tor_inserts.ia_drd"": 2758201112}"
