condition,n_aggr_cores,trial,agg_bw_gbps,sf_evict_total,sf_evict_rate,sf_victim_retry,tor_drd_pref,pmu_raw
B,1,2,1.04,273671,54734.0,0,24321168,"{""unc_cha_core_snp.evict_one"": 204939, ""unc_cha_core_snp.evict_gtone"": 68732, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 24321168, ""unc_cha_tor_inserts.ia_drd"": 1162721381}"
B,1,3,1.02,204889,40978.0,0,24875359,"{""unc_cha_core_snp.evict_one"": 138016, ""unc_cha_core_snp.evict_gtone"": 66873, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 24875359, ""unc_cha_tor_inserts.ia_drd"": 1138479393}"
B,1,4,1.04,205597,41119.0,0,16207077,"{""unc_cha_core_snp.evict_one"": 135688, ""unc_cha_core_snp.evict_gtone"": 69909, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 16207077, ""unc_cha_tor_inserts.ia_drd"": 1158240997}"
B,1,5,1.01,105716,21143.0,0,822186,"{""unc_cha_core_snp.evict_one"": 58217, ""unc_cha_core_snp.evict_gtone"": 47499, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 822186, ""unc_cha_tor_inserts.ia_drd"": 1120207826}"
B,1,6,1.07,91770,18354.0,0,773340,"{""unc_cha_core_snp.evict_one"": 48548, ""unc_cha_core_snp.evict_gtone"": 43222, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 773340, ""unc_cha_tor_inserts.ia_drd"": 1102357223}"
B,1,7,1.01,95429,19086.0,0,727548,"{""unc_cha_core_snp.evict_one"": 49589, ""unc_cha_core_snp.evict_gtone"": 45840, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 727548, ""unc_cha_tor_inserts.ia_drd"": 1118581860}"
B,1,8,1.02,101365,20273.0,0,786654,"{""unc_cha_core_snp.evict_one"": 49948, ""unc_cha_core_snp.evict_gtone"": 51417, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 786654, ""unc_cha_tor_inserts.ia_drd"": 1126769019}"
B,1,9,1.02,992717,198543.0,0,14150611,"{""unc_cha_core_snp.evict_one"": 728150, ""unc_cha_core_snp.evict_gtone"": 264567, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 14150611, ""unc_cha_tor_inserts.ia_drd"": 1130860895}"
B,3,0,3.07,425869,85174.0,0,9218655,"{""unc_cha_core_snp.evict_one"": 283828, ""unc_cha_core_snp.evict_gtone"": 142041, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 9218655, ""unc_cha_tor_inserts.ia_drd"": 3313905807}"
B,3,1,3.09,633492,126698.0,0,19818438,"{""unc_cha_core_snp.evict_one"": 399735, ""unc_cha_core_snp.evict_gtone"": 233757, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 19818438, ""unc_cha_tor_inserts.ia_drd"": 3173241843}"
B,3,2,3.07,258962,51792.0,0,16121430,"{""unc_cha_core_snp.evict_one"": 158464, ""unc_cha_core_snp.evict_gtone"": 100498, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 16121430, ""unc_cha_tor_inserts.ia_drd"": 3309079020}"
B,3,3,3.14,580135,116027.0,0,25571163,"{""unc_cha_core_snp.evict_one"": 379565, ""unc_cha_core_snp.evict_gtone"": 200570, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 25571163, ""unc_cha_tor_inserts.ia_drd"": 3301255050}"
B,3,4,3.14,276525,55305.0,0,16074860,"{""unc_cha_core_snp.evict_one"": 163250, ""unc_cha_core_snp.evict_gtone"": 113275, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 16074860, ""unc_cha_tor_inserts.ia_drd"": 3290275826}"
B,3,5,3.17,606746,121349.0,0,3336342,"{""unc_cha_core_snp.evict_one"": 402756, ""unc_cha_core_snp.evict_gtone"": 203990, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 3336342, ""unc_cha_tor_inserts.ia_drd"": 3247772981}"
B,3,6,3.2,245926,49185.0,0,1579163,"{""unc_cha_core_snp.evict_one"": 116334, ""unc_cha_core_snp.evict_gtone"": 129592, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 1579163, ""unc_cha_tor_inserts.ia_drd"": 3268677336}"
B,3,7,3.18,274757,54951.0,0,875590,"{""unc_cha_core_snp.evict_one"": 128238, ""unc_cha_core_snp.evict_gtone"": 146519, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 875590, ""unc_cha_tor_inserts.ia_drd"": 3259781415}"
B,3,8,3.21,256659,51332.0,0,1065498,"{""unc_cha_core_snp.evict_one"": 113657, ""unc_cha_core_snp.evict_gtone"": 143002, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 1065498, ""unc_cha_tor_inserts.ia_drd"": 3284034015}"
B,3,9,3.17,334233,66847.0,0,3730311,"{""unc_cha_core_snp.evict_one"": 190427, ""unc_cha_core_snp.evict_gtone"": 143806, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 3730311, ""unc_cha_tor_inserts.ia_drd"": 3243960078}"
B,5,0,5.1,343278,68656.0,0,6450778,"{""unc_cha_core_snp.evict_one"": 184556, ""unc_cha_core_snp.evict_gtone"": 158722, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 6450778, ""unc_cha_tor_inserts.ia_drd"": 5219629457}"
B,5,1,5.05,569342,113868.0,0,16701763,"{""unc_cha_core_snp.evict_one"": 375898, ""unc_cha_core_snp.evict_gtone"": 193444, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 16701763, ""unc_cha_tor_inserts.ia_drd"": 5177860589}"
B,5,2,5.08,282650,56530.0,0,2067837,"{""unc_cha_core_snp.evict_one"": 129749, ""unc_cha_core_snp.evict_gtone"": 152901, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 2067837, ""unc_cha_tor_inserts.ia_drd"": 5191200914}"
B,5,3,5.14,262973,52595.0,0,1230327,"{""unc_cha_core_snp.evict_one"": 122736, ""unc_cha_core_snp.evict_gtone"": 140237, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 1230327, ""unc_cha_tor_inserts.ia_drd"": 5254433744}"
B,5,4,5.17,248772,49754.0,0,1402205,"{""unc_cha_core_snp.evict_one"": 121627, ""unc_cha_core_snp.evict_gtone"": 127145, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 1402205, ""unc_cha_tor_inserts.ia_drd"": 5291143081}"
B,5,5,5.25,273208,54642.0,0,790148,"{""unc_cha_core_snp.evict_one"": 119196, ""unc_cha_core_snp.evict_gtone"": 154012, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 790148, ""unc_cha_tor_inserts.ia_drd"": 5361367675}"
B,5,6,5.16,235573,47115.0,0,1024069,"{""unc_cha_core_snp.evict_one"": 102305, ""unc_cha_core_snp.evict_gtone"": 133268, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 1024069, ""unc_cha_tor_inserts.ia_drd"": 5274332063}"
B,5,7,5.16,262119,52424.0,0,1525436,"{""unc_cha_core_snp.evict_one"": 129608, ""unc_cha_core_snp.evict_gtone"": 132511, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 1525436, ""unc_cha_tor_inserts.ia_drd"": 5272216250}"
B,5,8,5.11,257971,51594.0,0,775690,"{""unc_cha_core_snp.evict_one"": 125247, ""unc_cha_core_snp.evict_gtone"": 132724, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 775690, ""unc_cha_tor_inserts.ia_drd"": 5221204922}"
B,5,9,5.14,235377,47075.0,0,825461,"{""unc_cha_core_snp.evict_one"": 106538, ""unc_cha_core_snp.evict_gtone"": 128839, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 825461, ""unc_cha_tor_inserts.ia_drd"": 5243855371}"
B,7,0,7.12,294402,58880.0,0,761295,"{""unc_cha_core_snp.evict_one"": 134445, ""unc_cha_core_snp.evict_gtone"": 159957, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 761295, ""unc_cha_tor_inserts.ia_drd"": 7271613586}"
B,7,1,7.04,278656,55731.0,0,246207,"{""unc_cha_core_snp.evict_one"": 132849, ""unc_cha_core_snp.evict_gtone"": 145807, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 246207, ""unc_cha_tor_inserts.ia_drd"": 7187015225}"
B,7,2,7.06,253583,50717.0,0,239301,"{""unc_cha_core_snp.evict_one"": 102960, ""unc_cha_core_snp.evict_gtone"": 150623, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 239301, ""unc_cha_tor_inserts.ia_drd"": 7217896570}"
B,7,3,7.12,269439,53888.0,0,266177,"{""unc_cha_core_snp.evict_one"": 116293, ""unc_cha_core_snp.evict_gtone"": 153146, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 266177, ""unc_cha_tor_inserts.ia_drd"": 7278061737}"
B,7,4,6.95,286853,57371.0,0,436842,"{""unc_cha_core_snp.evict_one"": 118989, ""unc_cha_core_snp.evict_gtone"": 167864, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 436842, ""unc_cha_tor_inserts.ia_drd"": 7108366637}"
B,7,5,7.03,274141,54828.0,0,298079,"{""unc_cha_core_snp.evict_one"": 125903, ""unc_cha_core_snp.evict_gtone"": 148238, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 298079, ""unc_cha_tor_inserts.ia_drd"": 7100373409}"
B,7,6,6.97,260739,52148.0,0,512894,"{""unc_cha_core_snp.evict_one"": 114665, ""unc_cha_core_snp.evict_gtone"": 146074, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 512894, ""unc_cha_tor_inserts.ia_drd"": 7117481726}"
B,7,7,7.04,248887,49777.0,0,226940,"{""unc_cha_core_snp.evict_one"": 108023, ""unc_cha_core_snp.evict_gtone"": 140864, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 226940, ""unc_cha_tor_inserts.ia_drd"": 7184594438}"
B,7,8,7.1,250880,50176.0,0,255396,"{""unc_cha_core_snp.evict_one"": 103203, ""unc_cha_core_snp.evict_gtone"": 147677, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 255396, ""unc_cha_tor_inserts.ia_drd"": 7254877563}"
B,7,9,6.97,279454,55891.0,0,756026,"{""unc_cha_core_snp.evict_one"": 123332, ""unc_cha_core_snp.evict_gtone"": 156122, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 756026, ""unc_cha_tor_inserts.ia_drd"": 7137068706}"
B,9,0,9.47,295490,59098.0,0,868175,"{""unc_cha_core_snp.evict_one"": 140870, ""unc_cha_core_snp.evict_gtone"": 154620, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 868175, ""unc_cha_tor_inserts.ia_drd"": 9093537975}"
B,9,1,9.54,270359,54072.0,0,786536,"{""unc_cha_core_snp.evict_one"": 111093, ""unc_cha_core_snp.evict_gtone"": 159266, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 786536, ""unc_cha_tor_inserts.ia_drd"": 8997672949}"
B,9,2,9.39,278465,55693.0,0,765284,"{""unc_cha_core_snp.evict_one"": 108384, ""unc_cha_core_snp.evict_gtone"": 170081, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 765284, ""unc_cha_tor_inserts.ia_drd"": 9101969701}"
B,9,3,9.54,275217,55043.0,0,809399,"{""unc_cha_core_snp.evict_one"": 116277, ""unc_cha_core_snp.evict_gtone"": 158940, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 809399, ""unc_cha_tor_inserts.ia_drd"": 8981110324}"
B,9,4,8.97,283401,56680.0,0,289660,"{""unc_cha_core_snp.evict_one"": 129424, ""unc_cha_core_snp.evict_gtone"": 153977, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 289660, ""unc_cha_tor_inserts.ia_drd"": 9162736147}"
B,9,5,9.52,274871,54974.0,0,264780,"{""unc_cha_core_snp.evict_one"": 117950, ""unc_cha_core_snp.evict_gtone"": 156921, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 264780, ""unc_cha_tor_inserts.ia_drd"": 8976594244}"
B,9,6,9.46,293649,58730.0,0,389744,"{""unc_cha_core_snp.evict_one"": 139445, ""unc_cha_core_snp.evict_gtone"": 154204, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 389744, ""unc_cha_tor_inserts.ia_drd"": 8926507941}"
B,9,7,9.55,323925,64785.0,0,231450,"{""unc_cha_core_snp.evict_one"": 136299, ""unc_cha_core_snp.evict_gtone"": 187626, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 231450, ""unc_cha_tor_inserts.ia_drd"": 9004323703}"
B,9,8,9.39,257612,51522.0,0,234473,"{""unc_cha_core_snp.evict_one"": 106966, ""unc_cha_core_snp.evict_gtone"": 150646, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 234473, ""unc_cha_tor_inserts.ia_drd"": 8859600564}"
B,9,9,9.46,284531,56906.0,0,882098,"{""unc_cha_core_snp.evict_one"": 119953, ""unc_cha_core_snp.evict_gtone"": 164578, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 882098, ""unc_cha_tor_inserts.ia_drd"": 8935498815}"
B,11,0,11.33,297730,59546.0,0,791856,"{""unc_cha_core_snp.evict_one"": 129038, ""unc_cha_core_snp.evict_gtone"": 168692, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 791856, ""unc_cha_tor_inserts.ia_drd"": 10685717948}"
B,11,1,11.45,928447,185689.0,0,5456448,"{""unc_cha_core_snp.evict_one"": 510803, ""unc_cha_core_snp.evict_gtone"": 417644, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 5456448, ""unc_cha_tor_inserts.ia_drd"": 10791484736}"
B,11,2,11.19,409514,81903.0,0,16325403,"{""unc_cha_core_snp.evict_one"": 237508, ""unc_cha_core_snp.evict_gtone"": 172006, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 16325403, ""unc_cha_tor_inserts.ia_drd"": 10557147020}"
B,11,3,11.44,316167,63233.0,0,1120655,"{""unc_cha_core_snp.evict_one"": 141361, ""unc_cha_core_snp.evict_gtone"": 174806, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 1120655, ""unc_cha_tor_inserts.ia_drd"": 10770011394}"
B,11,4,11.33,295539,59108.0,0,799641,"{""unc_cha_core_snp.evict_one"": 123243, ""unc_cha_core_snp.evict_gtone"": 172296, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 799641, ""unc_cha_tor_inserts.ia_drd"": 10661144344}"
B,11,5,11.22,303715,60743.0,0,867659,"{""unc_cha_core_snp.evict_one"": 124580, ""unc_cha_core_snp.evict_gtone"": 179135, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 867659, ""unc_cha_tor_inserts.ia_drd"": 10569666843}"
B,11,6,11.52,301781,60356.0,0,1040624,"{""unc_cha_core_snp.evict_one"": 132786, ""unc_cha_core_snp.evict_gtone"": 168995, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 1040624, ""unc_cha_tor_inserts.ia_drd"": 10843307935}"
B,11,7,11.33,287437,57487.0,0,825678,"{""unc_cha_core_snp.evict_one"": 120789, ""unc_cha_core_snp.evict_gtone"": 166648, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 825678, ""unc_cha_tor_inserts.ia_drd"": 10707296704}"
B,11,8,11.4,289929,57986.0,0,944713,"{""unc_cha_core_snp.evict_one"": 121941, ""unc_cha_core_snp.evict_gtone"": 167988, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 944713, ""unc_cha_tor_inserts.ia_drd"": 10751129872}"
B,11,9,11.24,315539,63108.0,0,762106,"{""unc_cha_core_snp.evict_one"": 150140, ""unc_cha_core_snp.evict_gtone"": 165399, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 762106, ""unc_cha_tor_inserts.ia_drd"": 10612450330}"
B,13,0,13.0,312175,62435.0,0,781790,"{""unc_cha_core_snp.evict_one"": 136497, ""unc_cha_core_snp.evict_gtone"": 175678, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 781790, ""unc_cha_tor_inserts.ia_drd"": 12259458490}"
B,13,1,12.99,335855,67171.0,0,361461,"{""unc_cha_core_snp.evict_one"": 162693, ""unc_cha_core_snp.evict_gtone"": 173162, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 361461, ""unc_cha_tor_inserts.ia_drd"": 12226830665}"
B,13,2,13.01,310448,62090.0,0,268630,"{""unc_cha_core_snp.evict_one"": 141902, ""unc_cha_core_snp.evict_gtone"": 168546, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 268630, ""unc_cha_tor_inserts.ia_drd"": 12286527552}"
B,13,3,13.0,301047,60209.0,0,290973,"{""unc_cha_core_snp.evict_one"": 133801, ""unc_cha_core_snp.evict_gtone"": 167246, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 290973, ""unc_cha_tor_inserts.ia_drd"": 12226319008}"
B,13,4,13.01,338354,67671.0,0,367293,"{""unc_cha_core_snp.evict_one"": 169536, ""unc_cha_core_snp.evict_gtone"": 168818, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 367293, ""unc_cha_tor_inserts.ia_drd"": 12276320113}"
B,13,5,13.81,289201,57840.0,0,262733,"{""unc_cha_core_snp.evict_one"": 120587, ""unc_cha_core_snp.evict_gtone"": 168614, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 262733, ""unc_cha_tor_inserts.ia_drd"": 12000578498}"
B,13,6,13.07,370162,74032.0,0,1045919,"{""unc_cha_core_snp.evict_one"": 195032, ""unc_cha_core_snp.evict_gtone"": 175130, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 1045919, ""unc_cha_tor_inserts.ia_drd"": 12331278395}"
B,13,7,12.97,310570,62114.0,0,823060,"{""unc_cha_core_snp.evict_one"": 138336, ""unc_cha_core_snp.evict_gtone"": 172234, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 823060, ""unc_cha_tor_inserts.ia_drd"": 12223379143}"
B,13,8,13.26,310378,62076.0,0,579315,"{""unc_cha_core_snp.evict_one"": 142963, ""unc_cha_core_snp.evict_gtone"": 167415, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 579315, ""unc_cha_tor_inserts.ia_drd"": 12476082430}"
B,13,9,13.0,322972,64594.0,0,284695,"{""unc_cha_core_snp.evict_one"": 151937, ""unc_cha_core_snp.evict_gtone"": 171035, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 284695, ""unc_cha_tor_inserts.ia_drd"": 12235124446}"
B,15,0,15.76,277615,55523.0,0,251683,"{""unc_cha_core_snp.evict_one"": 117814, ""unc_cha_core_snp.evict_gtone"": 159801, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 251683, ""unc_cha_tor_inserts.ia_drd"": 13627833385}"
B,15,1,15.89,285712,57142.0,0,434129,"{""unc_cha_core_snp.evict_one"": 123049, ""unc_cha_core_snp.evict_gtone"": 162663, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 434129, ""unc_cha_tor_inserts.ia_drd"": 13728964843}"
B,15,2,14.92,301247,60249.0,0,240541,"{""unc_cha_core_snp.evict_one"": 139784, ""unc_cha_core_snp.evict_gtone"": 161463, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 240541, ""unc_cha_tor_inserts.ia_drd"": 13960592362}"
B,15,3,15.85,307460,61492.0,0,526282,"{""unc_cha_core_snp.evict_one"": 137252, ""unc_cha_core_snp.evict_gtone"": 170208, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 526282, ""unc_cha_tor_inserts.ia_drd"": 13683870500}"
B,15,4,15.89,277662,55532.0,0,220606,"{""unc_cha_core_snp.evict_one"": 113435, ""unc_cha_core_snp.evict_gtone"": 164227, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 220606, ""unc_cha_tor_inserts.ia_drd"": 13749786710}"
B,15,5,15.89,267655,53531.0,0,234742,"{""unc_cha_core_snp.evict_one"": 103824, ""unc_cha_core_snp.evict_gtone"": 163831, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 234742, ""unc_cha_tor_inserts.ia_drd"": 13723918830}"
B,15,6,15.89,314942,62988.0,0,248756,"{""unc_cha_core_snp.evict_one"": 150177, ""unc_cha_core_snp.evict_gtone"": 164765, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 248756, ""unc_cha_tor_inserts.ia_drd"": 13730776423}"
B,15,7,15.84,283378,56676.0,0,231948,"{""unc_cha_core_snp.evict_one"": 118836, ""unc_cha_core_snp.evict_gtone"": 164542, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 231948, ""unc_cha_tor_inserts.ia_drd"": 13683325619}"
B,15,8,15.89,355922,71184.0,0,506330,"{""unc_cha_core_snp.evict_one"": 174173, ""unc_cha_core_snp.evict_gtone"": 181749, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 506330, ""unc_cha_tor_inserts.ia_drd"": 13713271751}"
B,15,9,15.74,275413,55083.0,0,254521,"{""unc_cha_core_snp.evict_one"": 105809, ""unc_cha_core_snp.evict_gtone"": 169604, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 254521, ""unc_cha_tor_inserts.ia_drd"": 13597325507}"
C,1,0,1.04,122765,24553.0,0,927631427,"{""unc_cha_core_snp.evict_one"": 73618, ""unc_cha_core_snp.evict_gtone"": 49147, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 927631427, ""unc_cha_tor_inserts.ia_drd"": 76263130}"
C,1,1,1.07,109549,21910.0,0,939727801,"{""unc_cha_core_snp.evict_one"": 66330, ""unc_cha_core_snp.evict_gtone"": 43219, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 939727801, ""unc_cha_tor_inserts.ia_drd"": 75853891}"
C,1,2,1.07,97680,19536.0,0,933092075,"{""unc_cha_core_snp.evict_one"": 54470, ""unc_cha_core_snp.evict_gtone"": 43210, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 933092075, ""unc_cha_tor_inserts.ia_drd"": 77678096}"
C,1,3,1.07,105416,21083.0,0,935960722,"{""unc_cha_core_snp.evict_one"": 59635, ""unc_cha_core_snp.evict_gtone"": 45781, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 935960722, ""unc_cha_tor_inserts.ia_drd"": 76140440}"
C,1,4,1.06,910665,182133.0,0,953850578,"{""unc_cha_core_snp.evict_one"": 627925, ""unc_cha_core_snp.evict_gtone"": 282740, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 953850578, ""unc_cha_tor_inserts.ia_drd"": 88305288}"
C,1,5,1.0,211153,42231.0,0,980230827,"{""unc_cha_core_snp.evict_one"": 142088, ""unc_cha_core_snp.evict_gtone"": 69065, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 980230827, ""unc_cha_tor_inserts.ia_drd"": 87273777}"
C,1,6,1.06,243331,48666.0,0,965856188,"{""unc_cha_core_snp.evict_one"": 173506, ""unc_cha_core_snp.evict_gtone"": 69825, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 965856188, ""unc_cha_tor_inserts.ia_drd"": 92752876}"
C,1,7,1.07,494518,98904.0,0,968115603,"{""unc_cha_core_snp.evict_one"": 341264, ""unc_cha_core_snp.evict_gtone"": 153254, ""unc_cha_rxc_req_q1_retry.sf_victim"": 0, ""unc_cha_tor_inserts.ia_drd_pref"": 968115603, ""unc_cha_tor_inserts.ia_drd"": 91136140}"
