cell,trial,victim_node,aggressor_node,victim_wss_mb,llc_capacity_mb,aggressor_region_gb_per_core,aggressor_cores,agg_bw_gbps,agg_progress_bw_gbps_untrusted,cycles_per_load,tsc_hz,latency_ns,l2_hit,l3_hit,l3_miss,l3_miss_fraction,longest_lat_cache_miss,sf_evict,cha_cxl_drd,cxl_flits_valid,imc_cas_rd,victim_numa_n0,victim_numa_n2,aggressor_numa_n0,aggressor_numa_n2,victim_numa_sample,aggressor_numa_sample
AC-VC,12,2,2,32,60,1,2,17.12,1.95,362.931,1899981242,191.02,1963938,18786371,4843753,0.204982,27752723,4633,0,3936067262,440,0,1,0,2,719ce9800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,13,2,2,32,60,1,2,17.12,1.95,359.137,1899975675,189.02,1905298,19147852,4819769,0.201095,27688816,4562,0,3936732491,442,0,1,0,2,7dcaa7000000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,14,2,2,32,60,1,2,17.12,1.95,367.401,1899980331,193.37,1953014,18429418,4833667,0.207783,27828046,5134,0,3935847048,448,0,1,0,2,7ad357800000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,15,2,2,32,60,1,2,17.12,1.95,356.441,1899980769,187.6,1979626,19723263,4832844,0.196808,27630948,4542,0,3935958529,439,0,1,0,2,741f05e00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,16,2,2,32,60,1,2,17.12,1.95,361.182,1899984443,190.1,1931811,18833258,4848729,0.204743,27748524,4922,0,3935975170,444,0,1,0,2,768154a00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,17,2,2,32,60,1,2,17.12,1.95,356.012,1899979240,187.38,2002172,19508044,4877637,0.200021,27649650,4440,0,3935935516,444,0,1,0,2,7ce437e00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,18,2,2,32,60,1,2,17.12,1.95,361.106,1899950898,190.06,1967533,19074997,4857285,0.20296,27720925,4757,0,3936292291,444,0,1,0,2,78be5dc00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,19,2,2,32,60,1,2,17.12,1.95,374.847,1899976176,197.29,1934884,17357341,4887417,0.219711,27933265,4296,0,3935892782,436,0,1,0,2,7a04b9e00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,20,2,2,32,60,1,2,17.12,1.95,359.067,1899984697,188.98,1948860,19213287,4896411,0.203089,27710831,4661,0,3935976862,444,0,1,0,2,72d63ae00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,21,2,2,32,60,1,2,17.12,1.95,358.797,1899983462,188.84,1982814,19294461,4841637,0.200597,27691854,4702,0,3936091346,442,0,1,0,2,7e91adc00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VC,22,2,2,32,60,1,2,17.12,1.95,358.36,1899975174,188.61,1974418,19448252,4845065,0.19944,27660263,4312,0,3936336366,436,0,1,0,2,7fb031c00000 bind:2 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N2=16 kernelpagesize_kB=2048,799a76400000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
