cell,trial,victim_node,aggressor_node,victim_wss_mb,llc_capacity_mb,aggressor_region_gb_per_core,aggressor_cores,agg_bw_gbps,agg_progress_bw_gbps_untrusted,cycles_per_load,tsc_hz,latency_ns,l2_hit,l3_hit,l3_miss,l3_miss_fraction,longest_lat_cache_miss,sf_evict,cha_cxl_drd,cxl_flits_valid,imc_cas_rd,victim_numa_n0,victim_numa_n2,aggressor_numa_n0,aggressor_numa_n2,victim_numa_sample,aggressor_numa_sample
AC-VL,11,0,2,32,60,1,2,17.12,1.95,78.974,1899984562,41.57,1996756,217433622,3506148,0.015869,3795007,4816,0,3937622411,546,1,0,0,2,7f4473e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,12,0,2,32,60,1,2,17.12,1.95,79.103,1899981306,41.63,1981490,216857805,3688594,0.016725,3968087,4705,0,3936845086,552,1,0,0,2,7c68c6a00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,13,0,2,32,60,1,2,17.12,1.95,78.719,1899981948,41.43,2000053,218228277,3221381,0.014547,3511966,5069,0,3937436893,545,1,0,0,2,741b8b200000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,14,0,2,32,60,1,2,17.12,1.95,78.221,1899984148,41.17,1980114,220791978,2313766,0.010371,2593060,4853,0,3936743689,513,1,0,0,2,75a30a800000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,15,0,2,32,60,1,2,17.12,1.95,78.529,1899984656,41.33,1972456,219512779,2684398,0.012081,2964581,4759,0,3936578440,521,1,0,0,2,764bfba00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,16,0,2,32,60,1,2,17.12,1.95,78.266,1899983625,41.19,1982929,220673399,2323343,0.010419,2580609,4807,0,3937147060,515,1,0,0,2,7e9812000000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,17,0,2,32,60,1,2,17.12,1.95,78.718,1899984948,41.43,1981448,219166679,2859146,0.012878,3123237,4920,0,3936554197,531,1,0,0,2,798873e00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,18,0,2,32,60,1,2,17.12,1.95,78.793,1899980684,41.47,1930195,218577955,3007128,0.013571,3277249,4888,0,3936634245,535,1,0,0,2,7b4f24800000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,19,0,2,32,60,1,2,17.12,1.95,78.795,1899981986,41.47,1976538,218608200,3023256,0.013641,3292924,4515,0,3936387117,532,1,0,0,2,707877400000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,20,0,2,32,60,1,2,17.12,1.95,78.168,1899981877,41.14,1977169,221703428,2001151,0.008946,2251523,6378,0,3936281682,512,1,0,0,2,7eb32aa00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,21,0,2,32,60,1,2,17.12,1.95,79.009,1899981515,41.58,1967466,217501090,3473548,0.015719,3742232,5220,0,3936545370,556,1,0,0,2,7b9a5f600000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,22,0,2,32,60,1,2,17.12,1.95,78.406,1899980412,41.27,2000998,220292338,2528528,0.011348,2804033,5294,0,3936882799,527,1,0,0,2,74f46c200000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,23,0,2,32,60,1,2,17.12,1.95,78.516,1899981906,41.32,2006641,219783527,2685214,0.01207,2947858,4710,0,3936408433,525,1,0,0,2,7f06ebe00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,24,0,2,32,60,1,2,17.12,1.95,78.971,1899984278,41.56,1949590,217789259,3349863,0.015148,3619630,5342,0,3936236062,549,1,0,0,2,7db26e000000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,25,0,2,32,60,1,2,17.12,1.94,78.829,1899984628,41.49,1975837,218275960,3233170,0.014596,3486401,8168,0,3936656753,582,1,0,0,2,734de7c00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,26,0,2,32,60,1,2,17.12,1.95,78.399,1899985294,41.26,1966819,220101381,2617854,0.011754,2860136,5202,0,3937411089,538,1,0,0,2,75d359200000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,27,0,2,32,60,1,2,17.12,1.95,78.799,1899985562,41.47,1994066,218362735,3178754,0.014348,3444263,6352,0,3936360010,561,1,0,0,2,76b5c6400000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,28,0,2,32,60,1,2,17.12,1.95,78.565,1899982072,41.35,1982871,219339991,2833646,0.012754,3081002,5561,0,3936326401,543,1,0,0,2,770d00600000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
AC-VL,29,0,2,32,60,1,2,17.12,1.95,78.264,1899981315,41.19,1983812,220537961,2424262,0.010873,2691241,5360,0,3935977546,530,1,0,0,2,76d4f9a00000 bind:0 file=/anon_hugepage\040(deleted) huge anon=16 dirty=16 N0=16 kernelpagesize_kB=2048,7db4f7600000 bind:2 file=/anon_hugepage\040(deleted) huge anon=512 dirty=512 N2=512 kernelpagesize_kB=2048
