condition,n_aggressor_cores,sf_bypass,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
R16,16,0,393216,13,18.208,1537818592,116464.7,1235801,0.0,153103.9,1155.4,1.0,18871114.2,0.0,10.61
R16,16,0,393216,14,18.21,1537639424,123870.5,1314426,0.0,127135.7,1455.1,1.0,19049308.4,0.0,10.61
R16,16,0,393216,15,18.212,1537477984,151455.6,1607085,0.0,164517.5,1006.6,1.0,22418558.2,0.0,10.61
R16,16,0,393216,16,18.207,1537838368,110831.5,1176021,0.0,127699.2,1085.9,1.0,17622762.6,0.0,10.61
R16,16,0,393216,17,18.21,1537645504,63508.2,673877,0.0,55915.4,1284.2,1.0,10778812.7,0.0,10.61
R16,16,0,393216,18,18.196,1538781856,51065.5,541850,0.0,61686.6,985.9,1.0,9908177.6,0.0,10.61
R16,16,0,393216,19,18.189,1539406176,11705.3,124206,0.0,12731.9,411.2,1.0,3411438.5,0.0,10.61
R16,16,0,393216,20,18.177,1540378496,7865.6,83461,0.0,9384.9,437.9,1.0,2853299.8,0.0,10.61
R16,16,0,393216,21,18.189,1539377280,6769.1,71826,0.0,8544.6,439.3,1.0,2629288.9,0.0,10.61
R16,16,0,393216,22,18.173,1540716896,6851.4,72699,0.0,9666.5,343.8,1.0,2682754.2,0.0,10.61
R16,16,0,393216,23,18.183,1539910432,2371.2,25160,0.0,2787.4,368.9,1.0,2216620.3,0.0,10.61
R16,16,0,393216,24,18.186,1539656512,7666.6,81355,0.0,10832.0,450.8,1.0,3167913.0,0.0,10.61
R16,16,0,393216,25,18.177,1540404352,2075.1,22018,0.0,2567.6,415.5,1.0,2145409.2,0.0,10.61
R16,16,0,393216,26,18.189,1539406784,5003.4,53089,0.0,8395.7,388.1,1.0,2616389.8,0.0,10.61
R16,16,0,393216,27,18.18,1540166016,2510.2,26635,0.0,2959.9,376.6,1.0,2133648.6,0.0,10.61
R16,16,0,393216,28,18.175,1540598560,1808.1,19185,0.0,2529.7,441.6,1.0,2058627.7,0.0,10.61
R16,16,0,393216,29,18.182,1540002656,1629.4,17289,0.0,2535.1,458.8,1.0,2099201.6,0.0,10.61
R24,24,0,393216,0,18.167,1541245664,31934.3,338853,0.0,40994.8,1025.5,1.0,7262763.4,0.0,10.61
R24,24,0,393216,1,18.175,1540554688,23977.9,254428,0.0,20863.4,1294.5,1.0,6828451.4,0.0,10.61
R24,24,0,393216,2,18.156,1542200256,23689.3,251365,0.0,39193.0,1542.2,1.0,7799869.7,0.0,10.61
R24,24,0,393216,3,18.158,1541987328,10507.3,111493,0.0,17594.0,1686.3,1.0,6446424.8,0.0,10.61
R24,24,0,393216,4,18.16,1541895808,54712.2,580538,0.0,76285.2,1372.9,1.0,11313060.7,0.0,10.61
R24,24,0,393216,5,18.17,1540990400,17426.4,184911,0.0,20177.1,1132.4,1.0,5598317.1,0.0,10.61
R24,24,0,393216,6,18.16,1541808416,46618.0,494657,0.0,44730.9,1115.0,1.0,8936516.5,0.0,10.61
R24,24,0,393216,7,18.167,1541281888,23569.8,250129,0.0,25867.6,1163.4,1.0,6569861.9,0.0,10.61
R24,24,0,393216,8,18.17,1540988768,103346.8,1096605,0.0,128328.9,1137.8,1.0,17073144.0,0.0,10.61
R24,24,0,393216,9,18.162,1541670496,48342.3,512962,0.0,56809.5,625.4,1.0,8649930.7,0.0,10.61
R24,24,0,393216,10,18.157,1542054976,31746.8,336867,0.0,36990.4,476.0,1.0,5671979.2,0.0,10.61
R24,24,0,393216,11,18.155,1542255968,9932.2,105389,0.0,9260.4,382.6,1.0,2875800.7,0.0,10.61
R24,24,0,393216,12,18.156,1542187392,9828.8,104292,0.0,10999.8,399.5,1.0,3111218.9,0.0,10.61
R24,24,0,393216,13,18.155,1542311552,6313.6,66993,0.0,8204.0,413.3,1.0,2505517.3,0.0,10.61
R24,24,0,393216,14,18.169,1541109344,5288.2,56112,0.0,7646.0,438.0,1.0,2494747.9,0.0,10.61
R24,24,0,393216,15,18.156,1542195744,7124.6,75597,0.0,11742.2,372.7,1.0,2765408.5,0.0,10.61
R24,24,0,393216,16,18.148,1542838016,1929.1,20470,0.0,2446.5,291.2,1.0,2091756.0,0.0,10.61
R24,24,0,393216,17,18.16,1541876960,6185.0,65628,0.0,8726.6,373.1,1.0,2778908.5,0.0,10.61
R24,24,0,393216,18,18.156,1542156000,13267.6,140801,0.0,16762.8,382.4,1.0,3651000.0,0.0,10.61
R24,24,0,393216,19,18.155,1542303008,7006.6,74347,0.0,9624.2,337.9,1.0,2811313.6,0.0,10.61
R24,24,0,393216,20,18.155,1542327552,6754.0,71666,0.0,9364.8,346.9,1.0,2609386.0,0.0,10.61
R24,24,0,393216,21,18.157,1542116000,2193.3,23273,0.0,2722.4,270.1,1.0,2097859.4,0.0,10.61
R24,24,0,393216,22,18.153,1542446880,1574.8,16710,0.0,2283.1,311.9,1.0,1997038.4,0.0,10.61
R24,24,0,393216,23,18.148,1542862912,1343.3,14253,0.0,2129.5,201.3,1.0,1907699.1,0.0,10.61
R24,24,0,393216,24,18.159,1541894016,7920.3,84054,0.0,10129.2,427.6,1.0,2929980.9,0.0,10.61
R24,24,0,393216,25,18.154,1542381184,3435.2,36451,0.0,3385.1,246.5,1.0,2289072.7,0.0,10.61
R24,24,0,393216,26,18.154,1542370816,3531.4,37476,0.0,4230.8,273.3,1.0,2377193.6,0.0,10.61
R24,24,0,393216,27,18.151,1542572160,2061.1,21870,0.0,3149.5,207.5,1.0,2023296.8,0.0,10.61
R24,24,0,393216,28,18.16,1541806624,2869.0,30442,0.0,5257.2,256.1,1.0,2136024.9,0.0,10.61
R24,24,0,393216,29,18.161,1541753696,7222.4,76635,0.0,12037.4,287.0,1.0,2971958.9,0.0,10.61
R32,31,0,393216,0,18.15,1542693856,72989.6,774524,0.0,29928.8,3098.1,1.0,18083826.9,0.0,10.61
R32,31,0,393216,1,18.157,1542124928,71888.7,762822,0.0,14801.3,3469.8,1.0,20588187.6,0.0,10.61
R32,31,0,393216,2,18.154,1542371840,135987.6,1442993,0.0,100608.8,3087.2,1.0,22258949.5,0.0,10.61
R32,31,0,393216,3,18.145,1543129952,26960.8,286084,0.0,17056.4,2776.6,1.0,8499060.9,0.0,10.61
R32,31,0,393216,4,18.143,1543291584,18426.3,195524,0.0,9881.8,2079.0,1.0,7571432.1,0.0,10.61
R32,31,0,393216,5,18.14,1543612160,8747.7,92821,0.0,3149.0,2868.4,1.0,6971058.3,0.0,10.61
R32,31,0,393216,6,18.143,1543278368,8389.6,89021,0.0,3320.9,2747.7,1.0,7084764.7,0.0,10.61
R32,31,0,393216,7,18.134,1544046976,15009.4,159262,0.0,11948.3,2301.7,1.0,8128097.4,0.0,10.61
R32,31,0,393216,8,18.145,1543158752,19068.4,202335,0.0,13845.7,2292.6,1.0,8481287.4,0.0,10.61
R32,31,0,393216,9,18.139,1543663104,10073.1,106883,0.0,3559.3,2083.6,1.0,7764940.6,0.0,10.61
R32,31,0,393216,10,18.14,1543570816,12213.3,129595,0.0,6073.4,1881.2,1.0,8278297.0,0.0,10.61
R32,31,0,393216,11,18.135,1543943968,9323.0,98924,0.0,3139.3,1994.1,1.0,7867523.1,0.0,10.61
R32,31,0,393216,12,18.147,1542986496,10518.6,111610,0.0,5950.4,2312.2,1.0,8184449.4,0.0,10.61
R32,31,0,393216,13,18.138,1543713888,11960.4,126909,0.0,8488.5,2075.9,1.0,8234078.7,0.0,10.61
R32,31,0,393216,14,18.134,1544025376,9131.9,96898,0.0,2790.5,2239.1,1.0,8244542.4,0.0,10.61
R32,31,0,393216,15,18.131,1544312128,8894.4,94378,0.0,2896.1,2199.2,1.0,8144768.3,0.0,10.61
R32,31,0,393216,16,18.135,1543972704,8523.9,90446,0.0,2521.2,1998.0,1.0,7910164.6,0.0,10.61
R32,31,0,393216,17,18.143,1543303328,16515.8,175249,0.0,13570.8,2052.4,1.0,8952835.4,0.0,10.61
R32,31,0,393216,18,18.143,1543249440,10784.0,114429,0.0,3414.6,2141.8,1.0,8409465.8,0.0,10.61
R32,31,0,393216,19,18.137,1543780224,19222.8,203974,0.0,16272.1,2303.3,1.0,9464241.0,0.0,10.61
R32,31,0,393216,20,18.148,1542896384,15354.8,162932,0.0,12476.1,1838.2,1.0,9017632.3,0.0,10.61
R32,31,0,393216,21,18.141,1543460256,10379.1,110133,0.0,3914.0,2030.8,1.0,8253881.2,0.0,10.61
R32,31,0,393216,22,18.141,1543500992,15007.4,159243,0.0,10206.4,2383.3,1.0,8793831.0,0.0,10.61
R32,31,0,393216,23,18.137,1543828544,10103.4,107205,0.0,2584.2,2614.0,1.0,8482175.3,0.0,10.61
R32,31,0,393216,24,18.139,1543660032,10265.3,108925,0.0,3867.3,2296.1,1.0,8353990.4,0.0,10.61
R32,31,0,393216,25,18.139,1543668256,9176.4,97371,0.0,2877.1,2143.9,1.0,8357165.6,0.0,10.61
R32,31,0,393216,26,18.139,1543638208,10204.9,108283,0.0,5198.3,1488.6,1.0,8417180.0,0.0,10.61
R32,31,0,393216,27,18.136,1543891008,15176.3,161035,0.0,11909.3,2746.1,1.0,9250421.9,0.0,10.61
