condition,n_aggressor_cores,sf_bypass,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
R32,31,0,33554432,6,81.379,344068192,32676.7,350635,0.0,32754.0,14238.2,0.9676,9205203.2,0.0,10.73
R32,31,0,33554432,7,81.385,344043168,99243.8,1064970,0.0,76351.9,14620.3,0.967,15793467.9,0.0,10.73
R32,31,0,33554432,8,81.378,344071328,27661.5,296840,0.0,27570.6,14546.8,0.967,8710440.9,0.0,10.73
R32,31,0,33554432,9,81.374,344085824,25057.7,268880,0.0,28193.4,13850.7,0.9684,8800289.6,0.0,10.73
R32,31,0,33554432,10,81.371,344098976,18655.8,200185,0.0,20962.6,13893.5,0.9685,8339593.5,0.0,10.73
R32,31,0,33554432,11,81.378,344071392,19102.3,204981,0.0,22122.5,14647.1,0.9666,8730710.4,0.0,10.73
R32,31,0,33554432,12,81.381,344060288,20505.2,220035,0.0,21448.4,15044.8,0.9657,8842070.6,0.0,10.73
R32,31,0,33554432,13,81.397,343990720,31572.3,338788,0.0,34444.6,16441.0,0.9627,10083501.9,0.0,10.73
R32,31,0,33554432,14,81.386,344037792,20290.1,217721,0.0,20541.6,15473.5,0.9649,9158323.2,0.0,10.73
R32,31,0,33554432,15,81.4,343978368,36961.2,396614,0.0,42710.2,16717.4,0.9625,10639518.6,0.0,10.73
R32,31,0,33554432,16,81.388,344030048,27679.9,297016,0.0,32312.9,15138.9,0.9656,9625421.1,0.0,10.73
R32,31,0,33554432,17,81.385,344043456,20763.4,222797,0.0,22954.8,15041.8,0.9659,8738087.6,0.0,10.73
R32,31,0,33554432,18,81.404,343960000,27387.6,293885,0.0,29241.5,16118.9,0.9634,9757122.6,0.0,10.73
R32,31,0,33554432,19,81.397,343990400,21557.2,231330,0.0,22062.3,15587.6,0.9647,9350385.4,0.0,10.73
R32,31,0,33554432,20,81.391,344016352,21859.8,234569,0.0,22973.0,15539.5,0.9646,9059808.8,0.0,10.73
R32,31,0,33554432,21,81.388,344029184,19024.1,204133,0.0,20595.8,15154.1,0.9656,8763762.5,0.0,10.73
R32,31,0,33554432,22,81.609,343115808,82698.4,887429,0.0,105446.9,45131.4,0.9041,16969585.5,0.0,10.73
R32,31,0,33554432,23,81.406,343952896,27724.6,297511,0.0,27626.3,16141.1,0.9636,9571512.7,0.0,10.73
R32,31,0,33554432,24,81.397,343990432,22076.0,236886,0.0,22815.9,15718.0,0.9645,9364276.7,0.0,10.73
R32,31,0,33554432,25,81.399,343982272,22813.3,244810,0.0,22651.2,15847.3,0.9641,9190141.8,0.0,10.73
R32,31,0,33554432,26,81.395,343998112,21989.3,235954,0.0,22738.4,15461.9,0.9649,9182348.9,0.0,10.73
R32,31,0,33554432,27,81.43,343853760,73436.3,788042,0.0,82574.9,21611.9,0.9517,13573262.6,0.0,10.73
R32,31,0,33554432,28,81.557,343319200,239909.8,2575664,0.0,516110.6,40073.8,0.9142,44390925.4,0.0,10.74
R32,31,0,33554432,29,81.434,343835776,175698.9,1885799,0.0,1249045.2,18190.6,0.9593,66823594.1,0.0,10.73
