condition,trial,platform,victim_wss_bytes_requested,victim_wss_note,aggressor_cores,aggressor_region_gb_per_core,cycles_per_load,latency_ns,l2_hit,l3_hit,l3_miss,l2_hit_fraction
A_L2_scaled,4,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.274,10.14,951565611,29001426,23809,0.9704
A_L2_scaled,5,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.235,10.12,954069082,28437648,25731,0.971031
A_L2_scaled,6,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.255,10.13,952523607,28974919,21655,0.970457
A_L2_scaled,7,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.198,10.1,955706705,28766167,24271,0.970756
A_L2_scaled,8,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.199,10.1,955353161,29003414,22237,0.970514
A_L2_scaled,9,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.196,10.1,955751856,28782814,22390,0.970743
A_L2_scaled,10,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.23,10.12,953842698,29148389,24702,0.970323
A_L2_scaled,11,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.172,10.09,957461496,28461016,21266,0.971112
A_L2_scaled,12,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.231,10.12,954074175,28830744,21471,0.970647
A_L2_scaled,13,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.245,10.13,953407555,28715615,22406,0.97074
A_L2_scaled,14,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.242,10.13,953537213,28666510,23462,0.970791
A_L2_scaled,15,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.22,10.12,955217758,28227812,23754,0.971274
A_L2_scaled,16,Xeon Platinum 8592+,393216,benchmark aligns to 2MB hugepage; intended L2-fit control,4,5,19.251,10.13,952893006,28794445,22825,0.970646
