condition,n_aggressor_cores,pf_disabled,wss_bytes,trial,victim_cycles_per_load,victim_total_loads,sf_evictions_per_sec,sf_evict_total,sf_victim_per_sec,llc_victims_m_per_sec,l3_misses_per_sec,l2_hit_rate,mc_queue_occ,aggregate_bw_gbps,pmu_sec
R8,8,1,393216,13,18.206,1538012064,8204.0,87052,0.0,11973.9,898.0,1.0,2829862.1,0.0,10.61
R8,8,1,393216,14,18.203,1538208992,10084.3,107003,0.0,14347.4,776.1,1.0,3113210.3,0.0,10.61
R8,8,1,393216,15,18.2,1538488352,5906.8,62675,0.0,8227.0,825.2,1.0,2654616.8,0.0,10.61
R8,8,1,393216,16,18.208,1537826880,5557.7,58971,0.0,7790.0,933.3,1.0,2628243.1,0.0,10.61
R8,8,1,393216,17,18.204,1538111936,6960.7,73862,0.0,10268.8,697.0,1.0,2819310.7,0.0,10.61
R8,8,1,393216,18,18.206,1537963904,7719.5,81911,0.0,12083.3,883.2,1.0,2911670.7,0.0,10.61
R8,8,1,393216,19,18.206,1537950816,6519.4,69177,0.0,9958.8,848.7,1.0,2725851.4,0.0,10.61
R8,8,1,393216,20,18.199,1538528640,6402.4,67935,0.0,11355.9,764.0,1.0,2470343.4,0.0,10.61
R8,8,1,393216,21,18.203,1538181696,5483.6,58185,0.0,8844.2,856.1,1.0,2407767.4,0.0,10.61
R8,8,1,393216,22,18.206,1537940960,8694.4,92254,0.0,12819.8,870.2,1.0,3181012.6,0.0,10.61
R8,8,1,393216,23,18.199,1538514784,13875.3,147228,0.0,19243.3,1194.6,1.0,3351628.8,0.0,10.61
R8,8,1,393216,24,18.198,1538595776,9453.5,100311,0.0,11334.3,1010.9,1.0,2670706.2,0.0,10.61
R8,8,1,393216,25,18.203,1538227520,6976.6,74028,0.0,10001.3,791.2,1.0,2447380.6,0.0,10.61
R8,8,1,393216,26,18.198,1538635520,10563.1,112084,0.0,15922.5,774.4,1.0,2753964.6,0.0,10.61
