condition,n_aggressor_cores,trial,victim_cycles_per_load,victim_total_loads,aggregate_bw_gbps,agg_reported_bw,sf_evictions_per_sec,sf_evict_total,llc_victims_per_sec,l3_misses_per_sec,l2_hits_per_sec,l2_hit_rate,mc_queue_occ,tor_drd_occ
A,2,18,246.84,11343424,0.0,2.13,47843.7,516339,0.0,7539921.7,547755.6,0.0677,3699031324.8,49947251140.4
A,2,19,246.13,11375872,0.0,2.13,48610.0,524613,0.0,7535802.0,550365.0,0.0681,3698887427.3,49944293171.9
A,2,20,247.82,11298400,0.0,2.13,49939.0,538880,0.0,7547981.3,551082.8,0.068,3700065587.8,49959334609.2
A,2,21,247.63,11307232,0.0,2.13,50373.1,543553,0.0,7543457.8,552722.9,0.0683,3700293718.1,49966772053.2
A,2,22,246.12,11376416,0.0,2.13,52189.2,563285,0.0,7532572.1,550102.7,0.0681,3696308538.6,49907067991.8
A,2,23,245.75,11393440,0.0,2.13,48177.0,519902,0.0,7539411.2,550074.9,0.068,3698573469.7,49940965595.7
A,2,24,245.78,11392384,0.0,2.13,50969.6,550091,0.0,7538623.8,548594.8,0.0678,3698508840.2,49933879582.5
A,2,25,245.7,11395968,0.0,2.13,48748.0,526006,0.0,7532628.1,549822.3,0.068,3699845671.4,49957308230.4
A,2,26,246.21,11372416,0.0,2.13,48206.3,520282,0.0,7533680.6,549226.4,0.0679,3698235374.6,49935087969.8
A,2,27,246.56,11356064,0.0,2.13,47171.0,509067,0.0,7545737.8,548890.6,0.0678,3699607791.2,49951766623.9
A,2,28,245.0,11428576,0.0,2.13,49395.8,533052,0.0,7534087.6,548439.8,0.0679,3698689405.2,49943251394.5
A,2,29,245.83,11389728,0.0,2.13,54383.6,586810,0.0,7534355.7,549544.5,0.068,3700655437.9,49970919965.0
B,2,0,154.38,18137376,0.0,2.12,42075.4,453818,0.0,6749452.1,548202.3,0.0751,3550174220.9,112340480411.1
B,2,1,154.5,18123104,0.0,2.13,42912.5,462959,0.0,6772792.2,547363.5,0.0748,3549961265.7,112178063483.4
B,2,2,154.36,18139104,0.0,2.12,48353.1,521570,0.0,6756840.0,548989.8,0.0751,3550052650.7,112200841365.2
B,2,3,154.3,18146112,0.0,2.13,48610.8,524426,0.0,6748251.4,546707.5,0.0749,3549745869.3,112172414846.6
B,2,4,154.34,18142080,0.0,2.12,46646.4,503208,0.0,6730430.0,548003.2,0.0753,3549612906.4,112128321360.7
B,2,5,152.64,18344064,0.0,2.13,48192.8,519775,0.0,6677548.1,549311.5,0.076,3550075249.3,112150133274.9
B,2,6,154.28,18148384,0.0,2.13,48656.3,524797,0.0,6725375.9,547935.6,0.0753,3549923664.9,112163045483.5
B,2,7,155.09,18054272,0.0,2.12,46647.7,503173,0.0,6744905.7,546915.9,0.075,3549745041.5,112197118702.8
B,2,8,154.64,18106688,0.0,2.13,48413.8,522224,0.0,6754227.9,546687.6,0.0749,3550376640.3,112162851724.9
B,2,9,154.6,18111104,0.0,2.13,43566.6,469899,0.0,6731071.4,549197.9,0.0754,3550069905.7,112194981947.7
B,2,10,153.71,18215904,0.0,2.12,44632.1,481395,0.0,6709382.0,548968.2,0.0756,3549540440.5,112256884180.7
B,2,11,155.34,18024192,0.0,2.13,44652.1,481720,0.0,6722419.8,547377.3,0.0753,3549624678.4,112281289469.1
B,2,12,153.93,18189504,0.0,2.13,44706.7,482230,0.0,6746324.2,546055.7,0.0749,3550255098.9,112249025795.8
B,2,13,155.06,18056736,0.0,2.13,45679.2,492725,0.0,6749891.3,549367.0,0.0753,3549956914.9,112261214916.0
B,2,14,154.96,18068864,0.0,2.13,43736.6,471774,0.0,6748387.0,549141.7,0.0753,3549330208.5,112245600533.3
B,2,15,154.22,18155776,0.0,2.13,48645.6,524740,0.0,6735238.2,539558.0,0.0742,3549834883.4,112264602513.4
B,2,16,155.01,18063360,0.0,2.13,45744.8,493332,0.0,6744937.4,538923.0,0.074,3551232545.3,112317099575.6
B,2,17,151.95,18427200,0.0,2.13,47142.4,508455,0.0,6756253.5,540952.7,0.0741,3550811247.5,112276107825.0
B,2,18,153.68,18219392,0.0,2.13,46442.0,501027,0.0,6727710.2,550235.3,0.0756,3548971161.4,112207023493.6
B,2,19,154.74,18094912,0.0,2.12,45740.8,493362,0.0,6740667.9,543668.0,0.0746,3549631413.8,112253126477.0
B,2,20,154.88,18077760,0.0,2.13,47749.8,515076,0.0,6726361.6,543067.6,0.0747,3548960141.1,112214897979.8
B,2,21,153.36,18257664,0.0,2.13,47034.0,507290,0.0,6712837.9,547685.1,0.0754,3550608301.6,112242310629.1
