profile,placement,n,wb_minus_wc_delta_ipc_mean_pct,wb_minus_wc_delta_ipc_sd_pct,wb_minus_wc_delta_cpi_mean_pct,wb_minus_wc_delta_cpi_sd_pct,wb_minus_wc_bw_mean_gbps,wb_minus_wc_bw_sd_gbps
chase,A_same_ccd,1,-65.101,0.000,185.579,0.000,6.604,0.000
chase,B_diff_ccd_same_socket,1,-16.777,0.000,20.325,0.000,6.745,0.000
chase,C_diff_socket,1,0.446,0.000,-0.349,0.000,7.036,0.000
chase,D_both_sockets,1,0.667,0.000,-0.605,0.000,0.717,0.000
l2hot,A_same_ccd,1,-0.251,0.000,0.250,0.000,6.757,0.000
l2hot,B_diff_ccd_same_socket,1,-0.030,0.000,0.024,0.000,6.759,0.000
l2hot,C_diff_socket,1,-0.100,0.000,0.100,0.000,7.062,0.000
l2hot,D_both_sockets,1,-0.070,0.000,0.071,0.000,0.891,0.000
