band,mode,threads,bw_mean_sd_gbps,l2hot_delta_ipc_mean_sd_pct,chase_delta_cpi_mean_sd_pct
low,wc_ntdqa,4,15.339 +- 0.000,-0.030 +- 0.000,2.243 +- 0.000
low,wb_load,1,15.827 +- 0.000,0.000 +- 0.000,0.404 +- 0.000
mid,wc_ntdqa,9,20.786 +- 0.000,0.070 +- 0.000,2.703 +- 0.000
mid,wb_load,2,20.868 +- 0.000,-0.020 +- 0.000,26.681 +- 0.000
high,wc_ntdqa,12,24.575 +- 0.000,-0.372 +- 0.000,3.108 +- 0.000
high,wb_load,8,24.566 +- 0.000,0.030 +- 0.000,16.968 +- 0.000
