mode,threads,run,bw_gbps
wb_load,2,1,20.771
wb_load,2,2,20.774
wb_load,2,3,20.787
wb_load,3,1,20.504
wb_load,3,2,20.502
wb_load,3,3,20.530
wc_ntdqa,7,1,17.904
wc_ntdqa,7,2,17.899
wc_ntdqa,7,3,17.895
wc_ntdqa,9,1,20.955
wc_ntdqa,9,2,20.960
wc_ntdqa,9,3,20.955
wc_ntdqa,11,1,24.815
wc_ntdqa,11,2,24.838
wc_ntdqa,11,3,24.810
