claim,metric,value,unit,context
prefetch_bw,wb_load,15.769,GB/s,1t
prefetch_bw,wb_load,15.770,GB/s,1t
prefetch_bw,wb_load,15.767,GB/s,1t
prefetch_bw,wb_load,15.772,GB/s,1t
prefetch_bw,wb_load,15.769,GB/s,1t
prefetch_bw,wb_prefetchnta,15.677,GB/s,1t
prefetch_bw,wb_prefetchnta,15.675,GB/s,1t
prefetch_bw,wb_prefetchnta,15.684,GB/s,1t
prefetch_bw,wb_prefetchnta,15.674,GB/s,1t
prefetch_bw,wb_prefetchnta,15.687,GB/s,1t
prefetch_bw,wc_ntdqa,4.175,GB/s,1t
prefetch_bw,wc_ntdqa,4.176,GB/s,1t
prefetch_bw,wc_ntdqa,4.174,GB/s,1t
prefetch_bw,wc_ntdqa,4.174,GB/s,1t
prefetch_bw,wc_ntdqa,4.175,GB/s,1t
prefetch_victim_delta,wb_load,-0.221439,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_load,24.809,GB/s,l2hot
prefetch_victim_delta,wb_prefetchnta,-0.221439,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_prefetchnta,24.900,GB/s,l2hot
prefetch_victim_delta,wc_ntdqa,-0.281832,pct,l2hot_ipc_drop
prefetch_victim_bw,wc_ntdqa,24.808,GB/s,l2hot
prefetch_victim_delta,wb_load,0.000000,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_load,24.783,GB/s,l2hot
prefetch_victim_delta,wb_prefetchnta,0.100351,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_prefetchnta,24.888,GB/s,l2hot
prefetch_victim_delta,wc_ntdqa,0.090316,pct,l2hot_ipc_drop
prefetch_victim_bw,wc_ntdqa,24.826,GB/s,l2hot
prefetch_victim_delta,wb_load,-0.050216,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_load,24.794,GB/s,l2hot
prefetch_victim_delta,wb_prefetchnta,0.010043,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_prefetchnta,24.880,GB/s,l2hot
prefetch_victim_delta,wc_ntdqa,-0.050216,pct,l2hot_ipc_drop
prefetch_victim_bw,wc_ntdqa,24.781,GB/s,l2hot
prefetch_victim_delta,wb_load,-0.090389,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_load,24.852,GB/s,l2hot
prefetch_victim_delta,wb_prefetchnta,0.030130,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_prefetchnta,24.829,GB/s,l2hot
prefetch_victim_delta,wc_ntdqa,0.150648,pct,l2hot_ipc_drop
prefetch_victim_bw,wc_ntdqa,24.824,GB/s,l2hot
prefetch_victim_delta,wb_load,-0.090398,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_load,24.812,GB/s,l2hot
prefetch_victim_delta,wb_prefetchnta,-0.090398,pct,l2hot_ipc_drop
prefetch_victim_bw,wb_prefetchnta,24.815,GB/s,l2hot
prefetch_victim_delta,wc_ntdqa,0.000000,pct,l2hot_ipc_drop
prefetch_victim_bw,wc_ntdqa,24.818,GB/s,l2hot
cat_degradation,no_cat,0.050191,pct,l2hot_ipc_drop
cat_bw,no_cat,24.813,GB/s,wb_load
cat_degradation,with_cat,-0.030114,pct,l2hot_ipc_drop
cat_bw,with_cat,24.759,GB/s,wb_load
cat_degradation,no_cat,-0.010036,pct,l2hot_ipc_drop
cat_bw,no_cat,24.818,GB/s,wb_load
cat_degradation,with_cat,0.010036,pct,l2hot_ipc_drop
cat_bw,with_cat,24.833,GB/s,wb_load
cat_degradation,no_cat,-0.090389,pct,l2hot_ipc_drop
cat_bw,no_cat,24.755,GB/s,wb_load
