claim,metric,value,unit,context
cat_degradation,with_cat,0.020086,pct,l2hot_ipc_drop
cat_bw,with_cat,24.781,GB/s,wb_load
cat_degradation,no_cat,-0.080345,pct,l2hot_ipc_drop
cat_bw,no_cat,24.857,GB/s,wb_load
cat_degradation,with_cat,0.010043,pct,l2hot_ipc_drop
cat_bw,with_cat,24.879,GB/s,wb_load
cat_degradation,with_cat,-0.100452,pct,l2hot_ipc_drop
cat_bw,with_cat,24.863,GB/s,wb_load
cat_degradation,no_cat,-0.020090,pct,l2hot_ipc_drop
cat_bw,no_cat,24.859,GB/s,wb_load
rdt_proxy_bw,baseline,24.833,GB/s,wb8
rdt_proxy_bw,oneway,24.825,GB/s,wb8
rdt_proxy_drop,oneway_vs_baseline,0.032215,pct,wb8
rdt_proxy_bw,baseline,24.889,GB/s,wb8
rdt_proxy_bw,oneway,24.834,GB/s,wb8
rdt_proxy_drop,oneway_vs_baseline,0.220981,pct,wb8
rdt_proxy_bw,baseline,24.845,GB/s,wb8
rdt_proxy_bw,oneway,24.787,GB/s,wb8
rdt_proxy_drop,oneway_vs_baseline,0.233447,pct,wb8
rdt_proxy_bw,baseline,24.875,GB/s,wb8
rdt_proxy_bw,oneway,24.814,GB/s,wb8
rdt_proxy_drop,oneway_vs_baseline,0.245226,pct,wb8
rdt_proxy_bw,baseline,24.830,GB/s,wb8
rdt_proxy_bw,oneway,24.842,GB/s,wb8
rdt_proxy_drop,oneway_vs_baseline,-0.048329,pct,wb8
pmu_bw,wb_load,24.899,GB/s,chase
pmu_victim_cpi,wb_load,4646415.637592,cycles/iter,chase
pmu_event,wb_load,92107,count,amd_df/event=0x07,umask=0x38/
pmu_event,wb_load,6275253475,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wc_ntdqa,24.822,GB/s,chase
pmu_victim_cpi,wc_ntdqa,3745429.263111,cycles/iter,chase
pmu_event,wc_ntdqa,288370,count,amd_df/event=0x07,umask=0x38/
pmu_event,wc_ntdqa,1114831040,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wc_ntdqa,24.816,GB/s,chase
pmu_victim_cpi,wc_ntdqa,3684296.185795,cycles/iter,chase
pmu_event,wc_ntdqa,133908,count,amd_df/event=0x07,umask=0x38/
pmu_event,wc_ntdqa,1092248498,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wb_load,24.781,GB/s,chase
pmu_victim_cpi,wb_load,4670074.886087,cycles/iter,chase
pmu_event,wb_load,104159,count,amd_df/event=0x07,umask=0x38/
pmu_event,wb_load,6316110673,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wc_ntdqa,24.802,GB/s,chase
pmu_victim_cpi,wc_ntdqa,3664454.820589,cycles/iter,chase
pmu_event,wc_ntdqa,144101,count,amd_df/event=0x07,umask=0x38/
pmu_event,wc_ntdqa,1122405247,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wb_load,24.868,GB/s,chase
pmu_victim_cpi,wb_load,4654663.344226,cycles/iter,chase
pmu_event,wb_load,156798,count,amd_df/event=0x07,umask=0x38/
pmu_event,wb_load,6347061566,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wb_load,24.825,GB/s,chase
pmu_victim_cpi,wb_load,4643744.566992,cycles/iter,chase
pmu_event,wb_load,92818,count,amd_df/event=0x07,umask=0x38/
pmu_event,wb_load,6257091583,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wc_ntdqa,24.788,GB/s,chase
pmu_victim_cpi,wc_ntdqa,3689993.743085,cycles/iter,chase
pmu_event,wc_ntdqa,333147,count,amd_df/event=0x07,umask=0x38/
pmu_event,wc_ntdqa,1123073697,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wb_load,24.835,GB/s,chase
pmu_victim_cpi,wb_load,4650506.594365,cycles/iter,chase
pmu_event,wb_load,91688,count,amd_df/event=0x07,umask=0x38/
pmu_event,wb_load,6259845357,count,amd_l3/event=0x04,umask=0xff/
pmu_bw,wc_ntdqa,24.819,GB/s,chase
pmu_victim_cpi,wc_ntdqa,3667382.423749,cycles/iter,chase
pmu_event,wc_ntdqa,278202,count,amd_df/event=0x07,umask=0x38/
pmu_event,wc_ntdqa,1117227942,count,amd_l3/event=0x04,umask=0xff/
